danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.264,0.64,8,-6.221,1,0.0442,0.0393,2.31e-06,0.151,0.19,84.828,audio_features,7CyPwkp0oE8Ro9Dd5CUDjW,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,https://api.spotify.com/v1/tracks/7CyPwkp0oE8Ro9Dd5CUDjW,https://api.spotify.com/v1/audio-analysis/7CyPwkp0oE8Ro9Dd5CUDjW,244685,4
0.573,0.668,7,-4.356,0,0.0467,0.189,4.01e-05,0.109,0.145,87.973,audio_features,2Hh3ETdQKrmSI3QS0hme7g,spotify:track:2Hh3ETdQKrmSI3QS0hme7g,https://api.spotify.com/v1/tracks/2Hh3ETdQKrmSI3QS0hme7g,https://api.spotify.com/v1/audio-analysis/2Hh3ETdQKrmSI3QS0hme7g,199920,4
0.477,0.718,5,-7.227,0,0.15,0.259,0.00275,0.109,0.361,183.934,audio_features,6QdnKD1zwEgyOWtkrdzlOF,spotify:track:6QdnKD1zwEgyOWtkrdzlOF,https://api.spotify.com/v1/tracks/6QdnKD1zwEgyOWtkrdzlOF,https://api.spotify.com/v1/audio-analysis/6QdnKD1zwEgyOWtkrdzlOF,230027,4
0.739,0.448,10,-10.28,0,0.138,0.189,0,0.118,0.553,81.044,audio_features,248OFOZef6ShXv6DGgbnxU,spotify:track:248OFOZef6ShXv6DGgbnxU,https://api.spotify.com/v1/tracks/248OFOZef6ShXv6DGgbnxU,https://api.spotify.com/v1/audio-analysis/248OFOZef6ShXv6DGgbnxU,206533,4
0.572,0.839,4,-5.083,0,0.0377,0.013,0.00976,0.522,0.465,143.969,audio_features,7DbdUf8aHSYoliSjO6LZv6,spotify:track:7DbdUf8aHSYoliSjO6LZv6,https://api.spotify.com/v1/tracks/7DbdUf8aHSYoliSjO6LZv6,https://api.spotify.com/v1/audio-analysis/7DbdUf8aHSYoliSjO6LZv6,196784,4
0.664,0.525,6,-8.925,1,0.0332,0.334,0.00813,0.196,0.127,115.009,audio_features,6SMmN2hMqqO9tDqhOXDROG,spotify:track:6SMmN2hMqqO9tDqhOXDROG,https://api.spotify.com/v1/tracks/6SMmN2hMqqO9tDqhOXDROG,https://api.spotify.com/v1/audio-analysis/6SMmN2hMqqO9tDqhOXDROG,187833,4
0,0.609,8,-8.737,1,0,0.135,0.627,0.0778,0,0,audio_features,5pxtj7cCnv2hZe6mbS2MBx,spotify:track:5pxtj7cCnv2hZe6mbS2MBx,https://api.spotify.com/v1/tracks/5pxtj7cCnv2hZe6mbS2MBx,https://api.spotify.com/v1/audio-analysis/5pxtj7cCnv2hZe6mbS2MBx,204933,0
0.729,0.807,6,-6.492,1,0.0936,0.181,0.75,0.319,0.765,114.742,audio_features,2bLqfJjuC5syrsgDsZfGmn,spotify:track:2bLqfJjuC5syrsgDsZfGmn,https://api.spotify.com/v1/tracks/2bLqfJjuC5syrsgDsZfGmn,https://api.spotify.com/v1/audio-analysis/2bLqfJjuC5syrsgDsZfGmn,179120,4
0.7,0.46,4,-8.111,0,0.0661,0.142,4.81e-05,0.111,0.286,151.901,audio_features,4MXhiYIRDMGAuvZc5IFTwC,spotify:track:4MXhiYIRDMGAuvZc5IFTwC,https://api.spotify.com/v1/tracks/4MXhiYIRDMGAuvZc5IFTwC,https://api.spotify.com/v1/audio-analysis/4MXhiYIRDMGAuvZc5IFTwC,142969,4
0.868,0.74,4,-4.181,1,0.0449,0.13,0.13,0.0951,0.979,112.022,audio_features,3Jq0vjC96tJlUVAdKfMajk,spotify:track:3Jq0vjC96tJlUVAdKfMajk,https://api.spotify.com/v1/tracks/3Jq0vjC96tJlUVAdKfMajk,https://api.spotify.com/v1/audio-analysis/3Jq0vjC96tJlUVAdKfMajk,150693,4
