danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.892,0.633,8,-7.471,1,0.0902,0.0467,0.000189,0.139,0.459,137.994,audio_features,50a8bKqlwDEqeiEknrzkTO,spotify:track:50a8bKqlwDEqeiEknrzkTO,https://api.spotify.com/v1/tracks/50a8bKqlwDEqeiEknrzkTO,https://api.spotify.com/v1/audio-analysis/50a8bKqlwDEqeiEknrzkTO,195047,4
0.574,0.512,5,-6.664,0,0.0503,0.234,0,0.0946,0.512,76.899,audio_features,4rHZZAmHpZrA3iH5zx8frV,spotify:track:4rHZZAmHpZrA3iH5zx8frV,https://api.spotify.com/v1/tracks/4rHZZAmHpZrA3iH5zx8frV,https://api.spotify.com/v1/audio-analysis/4rHZZAmHpZrA3iH5zx8frV,484147,4
0.645,0.534,6,-10.8,0,0.0479,0.157,0,0.0863,0.463,105.02,audio_features,3azJifCSqg9fRij2yKIbWz,spotify:track:3azJifCSqg9fRij2yKIbWz,https://api.spotify.com/v1/tracks/3azJifCSqg9fRij2yKIbWz,https://api.spotify.com/v1/audio-analysis/3azJifCSqg9fRij2yKIbWz,226467,4
0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,audio_features,6gBFPUFcJLzWGx4lenP6h2,spotify:track:6gBFPUFcJLzWGx4lenP6h2,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2,243837,4
0.615,0.373,2,-10.173,1,0.0278,0.597,0.00312,0.224,0.337,74.986,audio_features,30jui3PqevssdIVpjEWM38,spotify:track:30jui3PqevssdIVpjEWM38,https://api.spotify.com/v1/tracks/30jui3PqevssdIVpjEWM38,https://api.spotify.com/v1/audio-analysis/30jui3PqevssdIVpjEWM38,129200,4
0.657,0.879,0,-4.91,0,0.0741,0.0688,0.776,0.0799,0.901,106.016,audio_features,5ieLgTo5CXbIgoO0X2KJHf,spotify:track:5ieLgTo5CXbIgoO0X2KJHf,https://api.spotify.com/v1/tracks/5ieLgTo5CXbIgoO0X2KJHf,https://api.spotify.com/v1/audio-analysis/5ieLgTo5CXbIgoO0X2KJHf,220726,4
0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,audio_features,6zeeWid2sgw4lap2jV61PZ,spotify:track:6zeeWid2sgw4lap2jV61PZ,https://api.spotify.com/v1/tracks/6zeeWid2sgw4lap2jV61PZ,https://api.spotify.com/v1/audio-analysis/6zeeWid2sgw4lap2jV61PZ,229320,4
0.495,0.654,3,-6.639,0,0.0679,0.713,0,0.165,0.35,123.896,audio_features,1UWacd8x8tPPwmrPB1MoBI,spotify:track:1UWacd8x8tPPwmrPB1MoBI,https://api.spotify.com/v1/tracks/1UWacd8x8tPPwmrPB1MoBI,https://api.spotify.com/v1/audio-analysis/1UWacd8x8tPPwmrPB1MoBI,269032,4
0.762,0.672,11,-5.358,1,0.0346,0.111,0.807,0.0461,0.841,76.496,audio_features,41HyMiZSBLGlfopnDE7Ppc,spotify:track:41HyMiZSBLGlfopnDE7Ppc,https://api.spotify.com/v1/tracks/41HyMiZSBLGlfopnDE7Ppc,https://api.spotify.com/v1/audio-analysis/41HyMiZSBLGlfopnDE7Ppc,182602,4
0.658,0.671,2,-12.21,1,0.0364,0.0928,0.000919,0.115,0.165,100.967,audio_features,2vXKRlJBXyOcvZYTdNeckS,spotify:track:2vXKRlJBXyOcvZYTdNeckS,https://api.spotify.com/v1/tracks/2vXKRlJBXyOcvZYTdNeckS,https://api.spotify.com/v1/audio-analysis/2vXKRlJBXyOcvZYTdNeckS,202093,4
